# DVT Execution Times — Full Integration Test Matrix
# Date: 2026-03-01
# Project: trial_18_all_commands/Coke_DB (merged with trial_17 cloud models)
# Total models: 67 | Seeds: 11 (9 small + 2 large 1M-row benchmark) | Tests: 25 | Snapshots: 1
# Targets: pg_docker, mysql_docker, mssql_docker, oracle_docker, mariadb_docker, pg_dev, dbx_dev, disf_dev
# NOTE: sf_dev is READ ONLY — excluded from writes
# NOTE: transactions_b.csv (1M rows) and transactions_c.csv (1M rows) excluded from adapter seed
#       (adapter inserts row-by-row — would take hours). These are seeded via --spark only on pg_dev.
#
# Format: COMMAND | TARGET | RESULT | TIME
# ================================================================================

# PHASE 1: dvt seed (adapter) --full-refresh — 2026-03-01 23:34:10
# All 3 failures are pre-existing (ConflictProject/dbt_project.yml path resolution)
# No regressions from DDL contract changes

# PHASE 14: Cloud — disf_dev (writable Snowflake) — 2026-03-02
# NOTE: dbt-snowflake 1.11.2 → downgraded to 1.10.7 (compat with dbt-adapters 1.16.2)
#       Patched dbt-adapters 1.16.2: added InvalidCatalogIntegrationConfigError,
#       InvalidRelationConfigError stubs for Snowflake Iceberg catalog module.
dvt seed (adapter) --full-refresh                  | disf_dev         | PASS=5 WARN=0 ERROR=4 SKIP=0 NO-OP=0 TOTAL=9            |    14s
# Errors: customers_db_1, customers_db_2, packs, transactions_a — column names with spaces
#         cause Snowflake SQL compilation error (unquoted identifiers). Pre-existing adapter issue.
dvt seed --spark                                   | disf_dev         | PASS=9 WARN=0 ERROR=0 SKIP=0 NO-OP=0 TOTAL=9            |    90s
dvt seed --spark --full-refresh                    | disf_dev         | PASS=9 WARN=0 ERROR=0 SKIP=0 NO-OP=0 TOTAL=9            |    93s
dvt run (pushdown+federation, threads=1)           | disf_dev         | PASS=20 WARN=0 ERROR=0 SKIP=0 NO-OP=0 TOTAL=20          |   737s
# NOTE: multi-thread (5) crashed after extracting — resource contention. Single thread works.
dvt run --full-refresh (pushdown+federation, t=1)  | disf_dev         | PASS=20 WARN=0 ERROR=0 SKIP=0 NO-OP=0 TOTAL=20          |   552s
dvt test                                           | disf_dev         | PASS=6 WARN=0 ERROR=19 SKIP=0 NO-OP=0 TOTAL=25          |    10s
# Errors: 19 tests fail — adapter_test_model/view tables not materialized on SF (Docker-only),
#         dim_customers/dim_packs/top_category/incremental_append not in pushdown+federation selection.
#         Expected — those models were never run on disf_dev.
dvt snapshot                                       | disf_dev         | PASS=1 WARN=0 ERROR=0 SKIP=0 NO-OP=0 TOTAL=1            |    11s

# ================================================================================
# DATE: 2026-03-02 (post dvt-adapters integration — import shim fix)
# Context: Fixed import timing issue in dvt-adapters/src/dvt/__init__.py
